incident_id,category,sub_category,priority,created_at,resolved_at,assigned_group,description,user_department
INC-000016,Impresoras,Conectividad,P4,2025-12-23 06:07:34,2025-12-26 01:46:21,Aplicaciones N2,Impresoras: Conectividad. Prioridad P4. Usuario de Operaciones reporta problema. Atendido por Aplicaciones N2.,Operaciones
INC-000017,Red,Caída de red,P4,2026-02-05 05:40:34,2026-02-07 11:33:20,Redes N2,Red: Caída de red. Prioridad P4. Usuario de Operaciones reporta problema. Atendido por Redes N2.,Operaciones
INC-000018,Aplicaciones,Actualización,P3,2025-12-28 03:37:34,2025-12-29 17:13:22,Seguridad N2,Aplicaciones: Actualización. Prioridad P3. Usuario de Logística reporta problema. Atendido por Seguridad N2.,Logística
INC-000019,Red,Caída de red,P4,2025-09-12 03:29:34,2025-09-13 21:24:58,Sistemas N2,Red: Caída de red. Prioridad P4. Usuario de TI reporta problema. Atendido por Sistemas N2.,TI
INC-000020,Hardware,Memoria,P3,2025-12-21 11:13:34,2025-12-23 07:42:26,Service Desk N1,Hardware: Memoria. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Service Desk N1.,Marketing
INC-000021,Virtualización,VM caída,P4,2025-09-23 04:50:34,2025-09-27 03:26:53,Sistemas N2,Virtualización: VM caída. Prioridad P4. Usuario de Recursos Humanos reporta problema. Atendido por Sistemas N2.,Recursos Humanos
INC-000022,Hardware,Laptop,P3,2025-08-19 01:01:34,2025-08-21 21:22:44,Base de Datos N2,Hardware: Laptop. Prioridad P3. Usuario de Logística reporta problema. Atendido por Base de Datos N2.,Logística
INC-000023,Seguridad,Políticas,P1,2025-10-15 08:07:34,2025-10-15 18:36:29,Aplicaciones N2,Seguridad: Políticas. Prioridad P1. Usuario de Ventas reporta problema. Atendido por Aplicaciones N2.,Ventas
INC-000024,Aplicaciones,Actualización,P2,2025-09-16 09:32:34,2025-09-16 17:13:15,Soporte en Sitio N1,Aplicaciones: Actualización. Prioridad P2. Usuario de Operaciones reporta problema. Atendido por Soporte en Sitio N1.,Operaciones
INC-000025,Virtualización,Migración,P4,2025-10-08 07:50:34,2025-10-12 05:21:08,Sistemas N2,Virtualización: Migración. Prioridad P4. Usuario de Atención a Clientes reporta problema. Atendido por Sistemas N2.,Atención a Clientes
INC-000026,Correo,Retraso,P3,2025-12-05 07:30:34,2025-12-06 20:18:17,Seguridad N2,Correo: Retraso. Prioridad P3. Usuario de TI reporta problema. Atendido por Seguridad N2.,TI
INC-000027,Aplicaciones,Errores 500,P3,2025-11-08 23:39:34,2025-11-10 14:16:19,Aplicaciones N2,Aplicaciones: Errores 500. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Aplicaciones N2.,Finanzas
INC-000028,Virtualización,Migración,P3,2025-09-02 10:42:34,2025-09-04 11:06:20,Aplicaciones N2,Virtualización: Migración. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Aplicaciones N2.,Ventas
INC-000029,Red,Lentitud,P3,2025-11-07 00:34:34,2025-11-08 07:02:12,Soporte en Sitio N1,Red: Lentitud. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Soporte en Sitio N1.,Ventas
INC-000030,Correo,Retraso,P3,2025-12-31 01:48:34,2026-01-01 03:32:58,Infraestructura N3,Correo: Retraso. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Infraestructura N3.,Recursos Humanos
INC-000031,Almacenamiento,Rendimiento,P4,2025-10-02 00:08:34,2025-10-05 13:58:49,Infraestructura N3,Almacenamiento: Rendimiento. Prioridad P4. Usuario de Atención a Clientes reporta problema. Atendido por Infraestructura N3.,Atención a Clientes
INC-000032,Impresoras,Conectividad,P3,2025-12-12 12:48:34,2025-12-14 11:08:40,Seguridad N2,Impresoras: Conectividad. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Seguridad N2.,Atención a Clientes
INC-000033,Red,Caída de red,P1,2025-11-09 11:57:34,2025-11-09 17:06:05,Service Desk N1,Red: Caída de red. Prioridad P1. Usuario de Atención a Clientes reporta problema. Atendido por Service Desk N1.,Atención a Clientes
INC-000034,Aplicaciones,Errores 500,P3,2025-12-30 06:10:34,2025-12-31 06:29:21,Aplicaciones N2,Aplicaciones: Errores 500. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Aplicaciones N2.,Recursos Humanos
INC-000035,Impresoras,Sin tinta,P3,2025-10-17 13:01:34,2025-10-19 18:00:09,Sistemas N2,Impresoras: Sin tinta. Prioridad P3. Usuario de Logística reporta problema. Atendido por Sistemas N2.,Logística
INC-000036,Aplicaciones,Actualización,P3,2026-01-28 07:55:34,2026-01-29 11:34:31,Soporte en Sitio N1,Aplicaciones: Actualización. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Soporte en Sitio N1.,Ventas
INC-000037,Red,Caída de red,P4,2025-11-27 06:32:34,2025-11-29 18:55:17,Aplicaciones N2,Red: Caída de red. Prioridad P4. Usuario de Operaciones reporta problema. Atendido por Aplicaciones N2.,Operaciones
INC-000038,Correo,Adjuntos,P3,2025-11-19 23:26:34,2025-11-21 14:11:59,Service Desk N1,Correo: Adjuntos. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Service Desk N1.,Operaciones
INC-000039,Base de datos,Backup,P3,2026-02-09 10:52:34,2026-02-10 09:35:47,Sistemas N2,Base de datos: Backup. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Sistemas N2.,Atención a Clientes
INC-000040,Virtualización,Snapshots,P1,2025-10-29 02:05:34,2025-10-29 04:28:10,Redes N2,Virtualización: Snapshots. Prioridad P1. Usuario de Recursos Humanos reporta problema. Atendido por Redes N2.,Recursos Humanos
INC-000041,Virtualización,VM caída,P3,2025-08-27 08:32:34,2025-08-30 05:08:56,Base de Datos N2,Virtualización: VM caída. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Base de Datos N2.,Ventas
INC-000042,Virtualización,Migración,P4,2025-10-01 00:40:34,2025-10-03 19:01:18,Service Desk N1,Virtualización: Migración. Prioridad P4. Usuario de Finanzas reporta problema. Atendido por Service Desk N1.,Finanzas
INC-000043,Aplicaciones,Errores 500,P3,2026-01-07 02:39:34,2026-01-08 11:57:09,Seguridad N2,Aplicaciones: Errores 500. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Seguridad N2.,Finanzas
INC-000044,Red,Caída de red,P3,2025-10-20 02:44:34,2025-10-21 16:57:02,Seguridad N2,Red: Caída de red. Prioridad P3. Usuario de TI reporta problema. Atendido por Seguridad N2.,TI
INC-000045,Seguridad,Phishing,P3,2025-09-17 09:43:34,2025-09-19 08:45:49,Sistemas N2,Seguridad: Phishing. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Sistemas N2.,Atención a Clientes
INC-000046,Base de datos,Backup,P3,2025-08-17 06:41:34,2025-08-18 10:24:40,Base de Datos N2,Base de datos: Backup. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Base de Datos N2.,Finanzas
INC-000047,Aplicaciones,Login,P3,2025-09-17 04:58:34,2025-09-18 18:22:16,Aplicaciones N2,Aplicaciones: Login. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing
INC-000048,Aplicaciones,Errores 500,P2,2025-09-24 06:55:34,2025-09-24 18:57:06,Base de Datos N2,Aplicaciones: Errores 500. Prioridad P2. Usuario de Marketing reporta problema. Atendido por Base de Datos N2.,Marketing
INC-000049,Virtualización,Host saturado,P4,2026-01-31 00:58:34,2026-02-05 07:59:55,Service Desk N1,Virtualización: Host saturado. Prioridad P4. Usuario de Marketing reporta problema. Atendido por Service Desk N1.,Marketing
INC-000050,Hardware,Disco,P3,2026-01-03 01:19:34,2026-01-04 12:04:03,Soporte en Sitio N1,Hardware: Disco. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Soporte en Sitio N1.,Finanzas
INC-000051,Base de datos,Bloqueos,P4,2026-02-06 09:56:34,2026-02-11 22:01:59,Base de Datos N2,Base de datos: Bloqueos. Prioridad P4. Usuario de Recursos Humanos reporta problema. Atendido por Base de Datos N2.,Recursos Humanos
INC-000052,Base de datos,Backup,P4,2025-09-07 09:29:34,2025-09-12 03:44:35,Sistemas N2,Base de datos: Backup. Prioridad P4. Usuario de Ventas reporta problema. Atendido por Sistemas N2.,Ventas
INC-000053,Base de datos,Conexión,P4,2025-09-17 09:18:34,2025-09-22 16:13:32,Service Desk N1,Base de datos: Conexión. Prioridad P4. Usuario de TI reporta problema. Atendido por Service Desk N1.,TI
INC-000054,Hardware,Memoria,P3,2025-09-12 00:58:34,2025-09-13 19:48:27,Seguridad N2,Hardware: Memoria. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Seguridad N2.,Ventas
INC-000055,Hardware,Laptop,P3,2025-12-03 01:04:34,2025-12-05 15:38:23,Base de Datos N2,Hardware: Laptop. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Base de Datos N2.,Operaciones
INC-000056,Base de datos,Tiempos de consulta,P3,2025-10-07 09:17:34,2025-10-09 19:38:28,Service Desk N1,Base de datos: Tiempos de consulta. Prioridad P3. Usuario de TI reporta problema. Atendido por Service Desk N1.,TI
INC-000057,Aplicaciones,Tiempo de respuesta,P2,2025-10-14 12:12:34,2025-10-14 23:33:21,Seguridad N2,Aplicaciones: Tiempo de respuesta. Prioridad P2. Usuario de Operaciones reporta problema. Atendido por Seguridad N2.,Operaciones
INC-000058,Hardware,Memoria,P2,2025-11-08 12:01:34,2025-11-09 04:53:44,Service Desk N1,Hardware: Memoria. Prioridad P2. Usuario de Operaciones reporta problema. Atendido por Service Desk N1.,Operaciones
INC-000059,Impresoras,Sin tinta,P2,2026-02-10 00:26:34,2026-02-10 16:50:54,Sistemas N2,Impresoras: Sin tinta. Prioridad P2. Usuario de Operaciones reporta problema. Atendido por Sistemas N2.,Operaciones
INC-000060,Red,WiFi,P4,2025-12-10 04:21:34,2025-12-12 21:53:04,Aplicaciones N2,Red: WiFi. Prioridad P4. Usuario de Recursos Humanos reporta problema. Atendido por Aplicaciones N2.,Recursos Humanos
INC-000061,Correo,Spam,P3,2025-11-25 04:19:34,2025-11-26 09:07:38,Service Desk N1,Correo: Spam. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Service Desk N1.,Recursos Humanos
INC-000062,Aplicaciones,Tiempo de respuesta,P3,2026-02-04 12:36:34,2026-02-06 03:49:26,Base de Datos N2,Aplicaciones: Tiempo de respuesta. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Base de Datos N2.,Atención a Clientes
INC-000063,Seguridad,Antivirus,P3,2025-09-29 08:18:34,2025-10-01 21:53:30,Soporte en Sitio N1,Seguridad: Antivirus. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Soporte en Sitio N1.,Marketing
INC-000064,Red,Caída de red,P3,2025-11-03 05:40:34,2025-11-04 04:42:14,Seguridad N2,Red: Caída de red. Prioridad P3. Usuario de TI reporta problema. Atendido por Seguridad N2.,TI
INC-000065,Virtualización,VM caída,P1,2025-10-18 23:47:34,2025-10-19 03:41:39,Seguridad N2,Virtualización: VM caída. Prioridad P1. Usuario de Recursos Humanos reporta problema. Atendido por Seguridad N2.,Recursos Humanos
INC-000066,Impresoras,Atasco,P3,2025-12-03 00:44:34,2025-12-04 21:44:58,Aplicaciones N2,Impresoras: Atasco. Prioridad P3. Usuario de TI reporta problema. Atendido por Aplicaciones N2.,TI
INC-000067,Seguridad,Políticas,P3,2025-12-22 03:44:34,2025-12-24 17:55:50,Soporte en Sitio N1,Seguridad: Políticas. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Soporte en Sitio N1.,Marketing
INC-000068,Impresoras,Conectividad,P4,2026-01-03 01:14:34,2026-01-04 21:27:41,Seguridad N2,Impresoras: Conectividad. Prioridad P4. Usuario de Marketing reporta problema. Atendido por Seguridad N2.,Marketing
INC-000069,Impresoras,Controlador,P4,2025-11-26 07:55:34,2025-11-28 19:04:49,Redes N2,Impresoras: Controlador. Prioridad P4. Usuario de Marketing reporta problema. Atendido por Redes N2.,Marketing
INC-000070,Red,VPN,P4,2025-12-03 11:39:34,2025-12-05 15:18:14,Sistemas N2,Red: VPN. Prioridad P4. Usuario de Recursos Humanos reporta problema. Atendido por Sistemas N2.,Recursos Humanos
INC-000071,Seguridad,Accesos,P3,2026-02-03 02:34:34,2026-02-05 18:09:59,Infraestructura N3,Seguridad: Accesos. Prioridad P3. Usuario de Logística reporta problema. Atendido por Infraestructura N3.,Logística
INC-000072,Almacenamiento,Rendimiento,P3,2025-12-24 09:42:34,2025-12-26 06:25:57,Soporte en Sitio N1,Almacenamiento: Rendimiento. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Soporte en Sitio N1.,Marketing
INC-000073,Seguridad,Antivirus,P3,2025-10-11 11:14:34,2025-10-13 02:20:07,Aplicaciones N2,Seguridad: Antivirus. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing
INC-000074,Hardware,Laptop,P3,2025-12-14 08:56:34,2025-12-15 02:57:34,Service Desk N1,Hardware: Laptop. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Service Desk N1.,Recursos Humanos
INC-000075,Aplicaciones,Actualización,P4,2026-02-09 05:33:34,2026-02-13 10:12:41,Seguridad N2,Aplicaciones: Actualización. Prioridad P4. Usuario de Recursos Humanos reporta problema. Atendido por Seguridad N2.,Recursos Humanos
INC-000076,Impresoras,Sin tinta,P4,2025-09-11 11:29:34,2025-09-15 03:04:36,Redes N2,Impresoras: Sin tinta. Prioridad P4. Usuario de Ventas reporta problema. Atendido por Redes N2.,Ventas
INC-000077,Correo,Spam,P3,2026-01-04 03:00:34,2026-01-05 08:06:02,Infraestructura N3,Correo: Spam. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Infraestructura N3.,Ventas
INC-000078,Aplicaciones,Actualización,P3,2026-02-01 07:37:34,2026-02-03 06:11:08,Redes N2,Aplicaciones: Actualización. Prioridad P3. Usuario de Logística reporta problema. Atendido por Redes N2.,Logística
INC-000079,Seguridad,Accesos,P2,2025-09-24 10:57:34,2025-09-25 00:44:37,Seguridad N2,Seguridad: Accesos. Prioridad P2. Usuario de Logística reporta problema. Atendido por Seguridad N2.,Logística
INC-000080,Almacenamiento,NFS,P3,2026-01-25 03:51:34,2026-01-27 01:11:07,Sistemas N2,Almacenamiento: NFS. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Sistemas N2.,Recursos Humanos
INC-000081,Virtualización,Snapshots,P4,2025-12-05 00:47:34,2025-12-07 09:43:26,Aplicaciones N2,Virtualización: Snapshots. Prioridad P4. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing
INC-000082,Base de datos,Bloqueos,P3,2025-11-04 07:07:34,2025-11-06 03:18:40,Sistemas N2,Base de datos: Bloqueos. Prioridad P3. Usuario de TI reporta problema. Atendido por Sistemas N2.,TI
INC-000083,Hardware,Desktop,P3,2026-02-08 01:47:34,2026-02-10 13:39:26,Aplicaciones N2,Hardware: Desktop. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Aplicaciones N2.,Atención a Clientes
INC-000084,Correo,Sin acceso,P3,2025-11-07 07:31:34,2025-11-08 07:57:19,Seguridad N2,Correo: Sin acceso. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Seguridad N2.,Atención a Clientes
INC-000085,Impresoras,Atasco,P3,2025-11-22 11:39:34,2025-11-25 04:29:45,Aplicaciones N2,Impresoras: Atasco. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Aplicaciones N2.,Atención a Clientes
INC-000086,Red,WiFi,P2,2025-11-13 03:50:34,2025-11-13 14:27:34,Infraestructura N3,Red: WiFi. Prioridad P2. Usuario de Ventas reporta problema. Atendido por Infraestructura N3.,Ventas
INC-000087,Impresoras,Controlador,P3,2025-10-10 03:29:34,2025-10-11 14:12:03,Aplicaciones N2,Impresoras: Controlador. Prioridad P3. Usuario de Logística reporta problema. Atendido por Aplicaciones N2.,Logística
INC-000088,Almacenamiento,Espacio lleno,P2,2026-02-02 09:53:34,2026-02-02 19:47:14,Seguridad N2,Almacenamiento: Espacio lleno. Prioridad P2. Usuario de TI reporta problema. Atendido por Seguridad N2.,TI
INC-000089,Impresoras,Sin tinta,P3,2026-01-21 07:03:34,2026-01-22 23:49:19,Infraestructura N3,Impresoras: Sin tinta. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Infraestructura N3.,Operaciones
INC-000090,Impresoras,Atasco,P3,2025-09-18 12:31:34,2025-09-20 13:28:41,Soporte en Sitio N1,Impresoras: Atasco. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Soporte en Sitio N1.,Atención a Clientes
INC-000091,Hardware,Laptop,P3,2025-11-06 02:31:34,2025-11-08 00:09:57,Sistemas N2,Hardware: Laptop. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Sistemas N2.,Atención a Clientes
INC-000092,Seguridad,Políticas,P3,2025-11-30 03:55:34,2025-12-01 04:38:34,Seguridad N2,Seguridad: Políticas. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Seguridad N2.,Marketing
INC-000093,Aplicaciones,Actualización,P3,2025-11-12 02:43:34,2025-11-13 10:55:08,Service Desk N1,Aplicaciones: Actualización. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Service Desk N1.,Ventas
INC-000094,Aplicaciones,Login,P3,2025-10-05 12:03:34,2025-10-06 15:41:03,Service Desk N1,Aplicaciones: Login. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Service Desk N1.,Recursos Humanos
INC-000095,Hardware,Desktop,P4,2026-02-02 00:38:34,2026-02-07 04:43:34,Redes N2,Hardware: Desktop. Prioridad P4. Usuario de Logística reporta problema. Atendido por Redes N2.,Logística
INC-000096,Correo,Adjuntos,P3,2025-09-26 08:40:34,2025-09-27 12:20:28,Sistemas N2,Correo: Adjuntos. Prioridad P3. Usuario de TI reporta problema. Atendido por Sistemas N2.,TI
INC-000097,Aplicaciones,Errores 500,P3,2026-01-10 00:01:34,2026-01-11 08:49:25,Sistemas N2,Aplicaciones: Errores 500. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Sistemas N2.,Finanzas
INC-000098,Base de datos,Backup,P3,2025-09-03 08:46:34,2025-09-05 06:21:33,Seguridad N2,Base de datos: Backup. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Seguridad N2.,Recursos Humanos
INC-000099,Correo,Sin acceso,P3,2026-01-06 11:04:34,2026-01-08 01:44:17,Sistemas N2,Correo: Sin acceso. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Sistemas N2.,Finanzas
INC-000100,Seguridad,Accesos,P4,2025-12-22 09:23:34,2025-12-26 22:50:24,Base de Datos N2,Seguridad: Accesos. Prioridad P4. Usuario de Finanzas reporta problema. Atendido por Base de Datos N2.,Finanzas
INC-000101,Red,WiFi,P3,2025-12-03 04:42:34,2025-12-04 03:25:39,Infraestructura N3,Red: WiFi. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Infraestructura N3.,Finanzas
INC-000102,Almacenamiento,Rendimiento,P3,2025-12-26 09:19:34,2025-12-27 23:27:41,Seguridad N2,Almacenamiento: Rendimiento. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Seguridad N2.,Operaciones
INC-000103,Virtualización,Snapshots,P3,2026-01-13 03:22:34,2026-01-14 16:12:08,Infraestructura N3,Virtualización: Snapshots. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Infraestructura N3.,Atención a Clientes
INC-000104,Correo,Sin acceso,P3,2025-10-16 11:31:34,2025-10-18 10:19:40,Sistemas N2,Correo: Sin acceso. Prioridad P3. Usuario de Logística reporta problema. Atendido por Sistemas N2.,Logística
INC-000105,Impresoras,Conectividad,P2,2025-11-06 01:33:34,2025-11-06 18:47:49,Service Desk N1,Impresoras: Conectividad. Prioridad P2. Usuario de Logística reporta problema. Atendido por Service Desk N1.,Logística
INC-000106,Correo,Retraso,P3,2025-10-25 08:46:34,2025-10-27 00:09:20,Sistemas N2,Correo: Retraso. Prioridad P3. Usuario de TI reporta problema. Atendido por Sistemas N2.,TI
INC-000107,Base de datos,Conexión,P3,2025-10-15 10:28:34,2025-10-16 16:12:18,Aplicaciones N2,Base de datos: Conexión. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Aplicaciones N2.,Finanzas
INC-000108,Almacenamiento,Rendimiento,P4,2025-12-07 11:03:34,2025-12-11 04:59:06,Infraestructura N3,Almacenamiento: Rendimiento. Prioridad P4. Usuario de Logística reporta problema. Atendido por Infraestructura N3.,Logística
INC-000109,Aplicaciones,Tiempo de respuesta,P3,2026-02-08 02:21:34,2026-02-10 02:46:26,Aplicaciones N2,Aplicaciones: Tiempo de respuesta. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Aplicaciones N2.,Atención a Clientes
INC-000110,Seguridad,Accesos,P4,2026-01-02 04:24:34,2026-01-06 03:08:43,Base de Datos N2,Seguridad: Accesos. Prioridad P4. Usuario de Atención a Clientes reporta problema. Atendido por Base de Datos N2.,Atención a Clientes
INC-000111,Almacenamiento,RAID,P3,2025-10-13 00:48:34,2025-10-14 21:32:18,Sistemas N2,Almacenamiento: RAID. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Sistemas N2.,Marketing
INC-000112,Correo,Retraso,P3,2025-10-03 02:49:34,2025-10-04 19:09:07,Soporte en Sitio N1,Correo: Retraso. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Soporte en Sitio N1.,Operaciones
INC-000113,Almacenamiento,RAID,P2,2025-10-03 03:16:34,2025-10-03 16:52:14,Sistemas N2,Almacenamiento: RAID. Prioridad P2. Usuario de Finanzas reporta problema. Atendido por Sistemas N2.,Finanzas
INC-000114,Seguridad,Phishing,P4,2025-12-29 01:19:34,2026-01-02 04:07:19,Sistemas N2,Seguridad: Phishing. Prioridad P4. Usuario de Ventas reporta problema. Atendido por Sistemas N2.,Ventas
INC-000115,Red,Caída de red,P3,2026-01-25 12:50:34,2026-01-25 22:39:38,Sistemas N2,Red: Caída de red. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Sistemas N2.,Operaciones
INC-000116,Almacenamiento,Espacio lleno,P2,2025-12-13 06:30:34,2025-12-13 17:39:28,Service Desk N1,Almacenamiento: Espacio lleno. Prioridad P2. Usuario de Marketing reporta problema. Atendido por Service Desk N1.,Marketing
INC-000117,Seguridad,Phishing,P1,2025-12-15 00:54:34,2025-12-15 06:07:10,Service Desk N1,Seguridad: Phishing. Prioridad P1. Usuario de Marketing reporta problema. Atendido por Service Desk N1.,Marketing
INC-000118,Aplicaciones,Actualización,P3,2026-01-09 09:45:34,2026-01-11 04:04:45,Infraestructura N3,Aplicaciones: Actualización. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Infraestructura N3.,Finanzas
INC-000119,Red,Lentitud,P2,2025-09-05 02:09:34,2025-09-05 12:02:34,Redes N2,Red: Lentitud. Prioridad P2. Usuario de Marketing reporta problema. Atendido por Redes N2.,Marketing
INC-000120,Virtualización,Snapshots,P3,2025-12-08 06:21:34,2025-12-09 16:03:08,Aplicaciones N2,Virtualización: Snapshots. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Aplicaciones N2.,Atención a Clientes
INC-000121,Impresoras,Conectividad,P3,2025-10-07 09:15:34,2025-10-09 16:50:44,Service Desk N1,Impresoras: Conectividad. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Service Desk N1.,Finanzas
INC-000122,Base de datos,Conexión,P3,2025-09-28 07:06:34,2025-10-01 03:46:11,Redes N2,Base de datos: Conexión. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Redes N2.,Recursos Humanos
INC-000123,Hardware,Laptop,P3,2026-02-07 08:32:34,2026-02-09 04:01:28,Seguridad N2,Hardware: Laptop. Prioridad P3. Usuario de Logística reporta problema. Atendido por Seguridad N2.,Logística
INC-000124,Base de datos,Conexión,P3,2025-10-26 10:57:34,2025-10-28 08:03:46,Aplicaciones N2,Base de datos: Conexión. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing
